date,prev_date,platform,item_id,product_name,brand_name,seller_name,subcategory,prev_retail,retail_price,prev_promo,promo_price,promo_change,promo_change_pct,prev_discount_pct,discount_pct,discount_pct_change,units_sold_delta,status,promo_event,variant_changed,prev_sku_id,sku_id,url
2026-09-18,2026-09-17,lazada,5722723800,MAMA BEAUTY Apple Cider Vinegar Gummies Liquid Filled น้ําส้มสายชูแอปเปิ้ล กัมมี่ ช่วยปรับปรุงระบบย่อยอาหาร สนับสนุนการย่อยอาหาร มี วิตามิน B12 รสแอปเปิ้ลสีเขียว กัมมี่ไส้เหลว,mama Beauty,MAMABEAUTY SHOP,Detoxification,3371.0,,474.3,,,,85.9,,,,gone,n/a,no,,24598100910,https://www.lazada.co.th/products/pdp-i5722723800.html
2026-09-18,2026-09-17,lazada,5725275986,FUMINO Max – ฟูมิโน่ แมกซ์ ดีท็อกซ์ลําไส้,S2S,LADYThailand,Detoxification,149.0,,149.0,,,,0.0,,,,gone,n/a,no,24411255131,24411255131,https://www.lazada.co.th/products/pdp-i5725275986.html
2026-09-18,2026-09-17,lazada,5725778026,ส่งฟรี น้ําชงมิเกว ไฟเบอร์ ถุงเขียว 30ซอง Mikeo Fiber XS มิเกะโอะ พรีไบโอติก โพรไบโอติก มิเกว,Unbranded,Saruda LaiLa8,Detoxification,190.0,,190.0,,,,0.0,,,,gone,n/a,no,24412675076,24412675076,https://www.lazada.co.th/products/pdp-i5725778026.html
2026-09-18,2026-09-17,lazada,5728127667,MAMA BEAUTY Apple Cider Vinegar Gummies น้ําส้มสายชูแอปเปิ้ล 2400MG การควบคุมน้ําหนัก สุขภาพระบบย่อยอาหาร ACV วิตามินแอปเปิ้ลไซเดอร์ Green Apple กัมมี่,mama Beauty,Mama Beauty Healthy,Detoxification,3350.0,,459.55,,,,86.3,,,,gone,n/a,no,,24608132062,https://www.lazada.co.th/products/pdp-i5728127667.html
2026-09-18,2026-09-17,lazada,5728406224,#พร้อมส่ง Exp22/4/28 #KOLON Lacto Medi Probiotic+Vitamin D (1 กระปุก 30 ซอง),THAI KOLON,TheTesterK,Digestive Care,690.0,,359.0,,,,48.0,,,,gone,n/a,no,24421416962,24421416962,https://www.lazada.co.th/products/pdp-i5728406224.html
2026-09-18,2026-09-17,lazada,5728766243,25 Billion Probiotics Gummies +Prebiotics ส่งเสริมการย่อยอาหารในลําไส้,Unbranded,HealthHive,Digestive Care,500.0,,229.0,,,,54.2,,,,gone,n/a,no,24423139814,24423139814,https://www.lazada.co.th/products/pdp-i5728766243.html
2026-09-18,2026-09-17,lazada,5736633152,"อาหารเสริมโปรไบโอติกแคปซูล - 60 พันล้าน CFUs - การย่อยอาหาร, ภูมิคุ้มกัน - 10 สายพันธุ์ - พรีไบโอติกไฟเบอร์เบลนด์ - โพรไปโอติก",Unbranded,Xemenry ร้านขายวิตามิน,Digestive Care,405.8,,190.17,,,,53.1,,,,gone,n/a,no,24448326015,24448326015,https://www.lazada.co.th/products/pdp-i5736633152.html
2026-09-18,2026-09-17,lazada,5744967168,MAMA BEAUTY Apple Cider Vinegar Gummies Liquid Filled น้ําส้มสายชูแอปเปิ้ล กัมมี่ไส้เหลว Support Energy สนับสนุนการย่อยอาหาร มี โปรไบโอติก วิตามิน B12 รสแอปเปิ้ลสีเขียว กัมมี่,Baigu,Baigu1,Detoxification,3580.0,,479.7,,,,86.6,,,,gone,n/a,no,24495286739,24495286739,https://www.lazada.co.th/products/pdp-i5744967168.html
2026-09-18,2026-09-17,lazada,5747053362,"Broccoli Seed Extract/Liposomol Sulforaphane อาหารเสริมบล็อคโคลี่​ ต่อต้านอนุมูล​อิสระ​ Anti-Aging, Balance Hormone",pslalae,GoldenWealth Land♻️,Multivitamins,550.0,,515.51,,,,6.3,,,,gone,n/a,no,24484837465,24484837465,https://www.lazada.co.th/products/pdp-i5747053362.html
2026-09-18,2026-09-17,lazada,5747067937,Feruna LactoWe ฟีรูน่าแลคโตวี โพรไบโอติกส์สําหรับผู้หญิง ฟื้นฟูจุลินทรีย์ดี ปรับสมดุลภายใน,Activa แอคทิว่า,Activa Store,Women's Health,800.0,,561.0,,,,29.9,,,,gone,n/a,no,24485383584,24485383584,https://www.lazada.co.th/products/pdp-i5747067937.html
